agent,week,mean,std,count
Greedy,1,-7.170306615223877,5.938110579500262,175
Greedy,2,-5.24378589633683,6.093139946854356,175
Greedy,3,-4.592944592271142,5.801247238235177,175
Greedy,4,-4.462457024268909,5.49919062392359,175
Greedy,5,-5.251285742417155,6.160827563227184,175
Greedy,6,-3.6555427161070155,5.4257780773393085,175
Greedy,7,-5.062292968630172,5.467653503520071,175
Greedy,8,-5.90061534104388,5.611988876709598,175
Greedy,9,-5.7861172325132895,5.878811959838834,175
Greedy,10,-5.65648781638357,5.091185267293243,175
Greedy,11,-5.892797511316016,5.7797806881297555,175
Greedy,12,-6.016126822777545,6.3816669409854825,175
Greedy,13,-6.217334604139172,5.9779349736826966,175
Greedy,14,-4.303407854496814,5.6879971289467,175
Greedy,15,-4.644472315604136,6.475552622440261,175
Greedy,16,-6.023517870436735,6.379417779804535,175
Greedy,17,-4.212519777964266,6.8782630983582465,175
Greedy,18,-4.4050760365009465,7.063865025704148,175
Greedy,19,-5.549985295746301,5.992549650445747,175
Greedy,20,-4.228103155597042,5.625970817968321,175
Greedy,21,-5.338222939746904,5.719964411616024,175
Greedy,22,-5.312670531621154,5.5145942723789485,175
Greedy,23,-4.527445572996014,5.096576382034302,175
Greedy,24,-4.988375835364165,5.209825969436439,175
Greedy,25,-5.262161777569823,4.3222527678542155,175
Greedy,26,-4.984260859376896,4.73771282455612,175
Greedy,27,-5.114166611216879,6.035453200598148,175
Greedy,28,-3.580837244792337,5.870449007871523,175
Greedy,29,-2.88419624314658,6.093815292696708,175
Greedy,30,-4.975901846649261,5.953242539918134,175
Greedy,31,-5.772634665851689,5.399843982395737,175
Greedy,32,-4.733293493304935,5.563890613682261,175
Greedy,33,-5.160811633178977,5.302156220264115,175
Greedy,34,-5.014832413461038,5.673330692197729,175
Greedy,35,-5.1753417604728,5.640571222620508,175
Greedy,36,-5.500864170060277,5.51694465446316,175
Greedy,37,-5.313071273233885,6.084320104152281,175
Greedy,38,-6.193419715437105,5.844300436334978,175
Greedy,39,-5.569748194391062,5.963399277219696,175
Greedy,40,-5.103423825254523,5.5399131561169686,175
Greedy,41,-5.167431069233148,5.993108889263629,175
Greedy,42,-4.952433649679636,6.850491555486766,175
Greedy,43,-5.735217100671047,6.129044369818539,175
Greedy,44,-3.825846093785473,4.740267469493637,175
Greedy,45,-4.426033775249796,4.950045347597252,175
Greedy,46,-4.21620404535154,5.084204229418125,175
Greedy,47,-3.759911812532034,5.992074103077194,175
Greedy,48,-2.6875092126383664,5.819726757534044,175
Greedy,49,-4.247355912594407,5.20396224749059,175
Greedy,50,-4.29000550186531,5.0765699828329005,175
Greedy,51,-6.101710439343063,5.704728233429763,175
Greedy,52,-5.606231912844582,6.2618020934717675,175
Greedy,53,-4.978187858892611,6.759880071954478,25
HC,1,-7.807919672854388,5.401554602775734,175
HC,2,-5.783106468527572,5.76753207668451,175
HC,3,-5.212092240586851,5.584856777816095,175
HC,4,-4.6265884417834835,5.699358373980797,175
HC,5,-5.756060264514106,5.878937502397094,175
HC,6,-4.5635777307793175,5.198952240026513,175
HC,7,-5.359956090112532,5.450055367135473,175
HC,8,-5.941590666781613,5.58554276663493,175
HC,9,-6.3812698992185934,5.530831309943351,175
HC,10,-5.9217198514702565,4.767616990726272,175
HC,11,-5.957334675591228,5.5123208574931235,175
HC,12,-6.096118408736565,5.837628727097033,175
HC,13,-6.431146603954012,5.700865586385574,175
HC,14,-4.531203242117326,5.736679546764795,175
HC,15,-5.073394390385168,6.345671881768075,175
HC,16,-6.973341236027569,5.728223647395551,175
HC,17,-4.662923106036389,6.416452189465078,175
HC,18,-4.935375917304538,7.298994586196094,175
HC,19,-6.104759409351777,5.828055615613893,175
HC,20,-4.769678714750106,5.335084275041969,175
HC,21,-5.190833676882625,5.751391168286995,175
HC,22,-5.853169537624188,5.1236421899469375,175
HC,23,-4.840310297547014,4.777058450207767,175
HC,24,-5.812627725350569,4.946617948500587,175
HC,25,-5.7241623133464365,4.605107660320915,175
HC,26,-5.716320444908442,4.726713024375463,175
HC,27,-5.353507130728215,5.757286302118587,175
HC,28,-4.154447007835371,6.039680210864553,175
HC,29,-3.206975269531715,6.26232770469068,175
HC,30,-4.879553837055409,5.684929385681641,175
HC,31,-5.783957169401269,5.283142511668873,175
HC,32,-5.353319467398155,5.227672936338884,175
HC,33,-5.278106674555826,5.697839153541837,175
HC,34,-5.387793052651894,5.594001198476612,175
HC,35,-5.541876522888516,5.254975882183485,175
HC,36,-5.983354941727629,5.422427901572543,175
HC,37,-5.478457615583395,5.7501366390875575,175
HC,38,-6.0874320258685595,5.707120443891728,175
HC,39,-5.961995082778556,5.528405165228195,175
HC,40,-5.399179026202818,5.507193113032535,175
HC,41,-5.2235779980931545,6.1213525060943,175
HC,42,-5.585745078447479,6.47915438349602,175
HC,43,-5.44586475886621,6.633561205469287,175
HC,44,-4.035201434398021,4.462868712647451,175
HC,45,-5.119932925018451,4.3220678287737355,175
HC,46,-4.30258528864102,5.048785639602293,175
HC,47,-3.658642904929867,5.512457492245666,175
HC,48,-3.4183862764716886,5.565238729693161,175
HC,49,-4.595952121004669,5.305628112233173,175
HC,50,-4.988292902393337,5.166422325507255,175
HC,51,-6.142212413048816,5.711184784507356,175
HC,52,-5.912980753899339,5.992244795513492,175
HC,53,-6.533686402969196,6.2837819064384774,25
Q,1,-8.099738895353696,5.203987846262556,175
Q,2,-5.785168320079225,5.586427956311759,175
Q,3,-4.927837771547536,5.587983913188868,175
Q,4,-4.721821816581142,5.449330774867486,175
Q,5,-5.315402613553139,6.032186079769633,175
Q,6,-4.041580651090665,5.10332984199072,175
Q,7,-5.720656991692114,5.628281020602155,175
Q,8,-6.305059895117001,5.366967205252031,175
Q,9,-6.208425998131066,5.70884857318516,175
Q,10,-6.177517954018562,4.572402494525247,175
Q,11,-6.224088816882509,5.599700780970386,175
Q,12,-6.554838319550932,5.594006644814864,175
Q,13,-6.751446867698745,6.0791861940713225,175
Q,14,-4.132958559477752,5.543305871292843,175
Q,15,-4.969855260419304,6.228738141192529,175
Q,16,-6.323514078649809,5.991428228323168,175
Q,17,-4.796492420411736,6.800292723319835,175
Q,18,-5.275077121744604,6.75242309949166,175
