agent,user_id,reward_eff
Greedy,0,-1069.1138321270425
Greedy,1,-2779.355215723013
Greedy,2,-1711.003985218709
Greedy,3,-4442.081582512319
Greedy,4,-1007.7734757290935
Greedy,5,-2259.1062985800413
Greedy,6,-2820.6571476187514
Greedy,7,-3288.3377251895704
Greedy,8,-3542.3951380861263
Greedy,9,-1760.5269762927142
Greedy,10,-857.6992131113635
Greedy,11,-1421.337321226444
Greedy,12,-4599.839825068957
Greedy,13,466.72840682843724
Greedy,14,-2772.7291751268217
Greedy,15,-1036.4254199355178
Greedy,16,-1528.218288617108
Greedy,17,-715.9398973062104
Greedy,18,-915.5863506801347
Greedy,19,-2384.7793450725694
Greedy,20,-2211.151918834951
Greedy,21,-306.4320887503179
Greedy,22,-16.11090556558829
Greedy,23,-2343.056890264248
Greedy,24,-222.88516296230546
Greedy,25,867.992020468788
Greedy,26,-887.7790750395334
Greedy,27,-517.9734029536891
Greedy,28,-4045.3493881472177
Greedy,29,-2145.6870451739
Greedy,30,-657.0757926347484
Greedy,31,-4194.769954593364
Greedy,32,106.27021306586612
Greedy,33,-1499.3981337610992
Greedy,34,-3645.499662859232
Greedy,35,420.528089486473
Greedy,36,-271.6730078434304
Greedy,37,-755.3070288702149
Greedy,38,-4205.053542473318
Greedy,39,-4243.727380762463
Greedy,40,-2638.346236560291
Greedy,41,-1448.9690125799739
Greedy,42,-768.2554719996281
Greedy,43,-133.88060889859585
Greedy,44,-2199.908344491661
Greedy,45,-3202.9239184226217
Greedy,46,-1476.5969120671807
Greedy,47,-2905.155459610488
Greedy,48,125.29611650575269
Greedy,49,-2171.1720189320304
Greedy,50,-3120.827691678745
Greedy,51,-2732.1677513827253
Greedy,52,-900.4953030070769
Greedy,53,308.12587220626835
Greedy,54,-959.2367161839834
Greedy,55,-3845.2174740121814
Greedy,56,-716.0540512441775
Greedy,57,-3528.9559463375176
Greedy,58,-1160.244170018788
Greedy,59,-838.0149409237001
Greedy,60,-3918.6972556162955
Greedy,61,-3997.2402439047223
Greedy,62,-2756.213619203231
Greedy,63,-303.941959494729
Greedy,64,-2654.2928486959026
Greedy,65,-5.482739623771082
Greedy,66,-5086.043993226566
Greedy,67,-3255.9848263308672
Greedy,68,-2504.07006880911
Greedy,69,-882.5351693799971
Greedy,70,-872.1885529908388
Greedy,71,-3047.2705210630747
Greedy,72,-735.5489666921643
Greedy,73,-1980.4700922738136
Greedy,74,-1808.431720127374
Greedy,75,-910.9390381673651
Greedy,76,-1311.0638794782305
Greedy,77,-2479.603411494271
Greedy,78,-1935.9440688973036
Greedy,79,-987.1076309125602
Greedy,80,614.6165926371375
Greedy,81,-1899.5397038667652
Greedy,82,734.7361091617006
