agent,user_id,reward_eff
Greedy,0,-1890.633584301078
Greedy,1,-2456.121757594003
Greedy,2,-2331.067032413703
Greedy,3,-4174.874928657736
Greedy,4,-1051.2082702234482
Greedy,5,-1851.8317633064491
Greedy,6,-3066.3618576837675
Greedy,7,-4190.269132870955
Greedy,8,-3824.5883285751434
Greedy,9,-1911.5624734820883
Greedy,10,-305.3847461052366
Greedy,11,-950.0411855388835
Greedy,12,-4539.4207600977925
Greedy,13,80.09440252992115
Greedy,14,-2001.2428453036634
Greedy,15,-740.4097119339785
Greedy,16,-2373.6195782676405
Greedy,17,-514.4929924859548
Greedy,18,221.73844262779613
Greedy,19,-2069.4921958503933
Greedy,20,-2315.8483273986963
Greedy,21,-317.71767611611733
Greedy,22,238.89482849948612
Greedy,23,-3248.059479616619
Greedy,24,118.72108862833798
Greedy,25,327.5742049713545
Greedy,26,-1772.255981658342
Greedy,27,-1100.200211553866
Greedy,28,-4766.546494472844
Greedy,29,-2208.1935940028525
Greedy,30,-1021.1979315060877
Greedy,31,-2754.325058533782
Greedy,32,252.21713413749177
Greedy,33,-2051.957892127015
Greedy,34,-3539.7131270163677
Greedy,35,-173.30860156816522
Greedy,36,-260.7084737001036
Greedy,37,36.02496030042048
Greedy,38,-4151.104652877129
Greedy,39,-4047.8657904401857
Greedy,40,-2622.9272270966385
Greedy,41,-1756.3172591648292
Greedy,42,-674.8573065100948
Greedy,43,111.95040729830622
Greedy,44,-2042.7411111571457
Greedy,45,-2589.3904963858618
Greedy,46,-2562.685861967221
Greedy,47,-2798.4759573857227
Greedy,48,-410.87872847433766
Greedy,49,-1598.9397197697683
Greedy,50,-3219.90534538398
Greedy,51,-2639.6801551660938
Greedy,52,-222.3287696392698
Greedy,53,-166.54426202821853
Greedy,54,-1332.2265548028179
Greedy,55,-3698.1921072976997
Greedy,56,-422.05410691465005
Greedy,57,-4317.261705569452
Greedy,58,-1127.0830757361973
Greedy,59,-789.3566588294215
Greedy,60,-4004.696847615233
Greedy,61,-4192.533575028232
Greedy,62,-2901.081282276603
Greedy,63,230.47340079707953
Greedy,64,-2250.3848861891797
Greedy,65,-1010.0424972853062
