agent,week,mean,std,count
Greedy,1,-6.998053675353855,5.867037338960826,525
Greedy,2,-5.11387836890199,6.127463206061751,525
Greedy,3,-5.043068859964958,6.251677047816454,525
Greedy,4,-4.419945349266361,6.572305400279003,525
Greedy,5,-4.83912042436503,6.555849375974111,525
Greedy,6,-5.386079633011683,6.467056981983366,525
Greedy,7,-4.607925794863309,6.295505102544698,525
Greedy,8,-3.786783479918049,6.293932249035849,525
Greedy,9,-4.629054136315134,6.622006913186647,525
Greedy,10,-4.733302053651281,6.30184192097189,525
Greedy,11,-4.5641472709216435,6.355412839250577,525
Greedy,12,-5.412005544312706,6.605040519663286,525
Greedy,13,-5.2113736920655445,6.296399844922968,525
Greedy,14,-5.212918200610924,6.111732122555201,525
Greedy,15,-5.432739892970485,6.701173748885779,525
Greedy,16,-5.54172548871343,6.213531349826077,525
Greedy,17,-4.996428639412789,6.233957021010968,525
Greedy,18,-4.890501505852688,6.545569175838441,525
Greedy,19,-5.588432733849063,6.518675019394834,525
Greedy,20,-5.322551373151275,6.112909341415359,525
Greedy,21,-5.66654844411847,5.6109409406671436,525
Greedy,22,-5.962489073955142,5.535096243601454,525
Greedy,23,-5.524586043731048,5.696796464872648,525
Greedy,24,-5.601071270364581,6.038064869236209,525
Greedy,25,-6.157359778505495,6.017031387126844,525
Greedy,26,-4.706685025298179,6.370213160073612,525
Greedy,27,-4.277998237139638,6.140414932769983,525
Greedy,28,-4.635631665965673,6.490416083728476,525
Greedy,29,-5.115955699820703,6.583068425844458,525
Greedy,30,-6.1267803476673555,6.1271445337652795,525
Greedy,31,-5.921546855988549,6.150339374111727,525
Greedy,32,-5.69877172121486,6.562439702389862,525
Greedy,33,-5.629552104217161,6.585697685976597,525
Greedy,34,-4.936680223585457,7.117211398237128,525
Greedy,35,-4.565327863202218,6.454698477629811,525
Greedy,36,-4.4027458618161415,6.142851842797712,525
Greedy,37,-4.825958507144048,5.975003830608572,525
Greedy,38,-4.530954058975929,6.026597808395157,525
Greedy,39,-4.714168952178793,6.360722446868568,525
Greedy,40,-5.2147166800358615,6.492842212926894,525
Greedy,41,-4.558483876516798,6.558328625261344,525
Greedy,42,-4.885864536513586,6.640214696053217,525
Greedy,43,-5.063655566567021,6.178991363221186,525
Greedy,44,-5.722100364725413,6.4305421333037875,525
Greedy,45,-5.109411710773707,6.826945260835637,525
Greedy,46,-4.462258353940784,6.523209489977396,525
Greedy,47,-4.8898549783097955,5.966060458580061,525
Greedy,48,-4.954480838646657,6.264687653123201,525
Greedy,49,-5.963737030412143,5.66223076242064,525
Greedy,50,-5.7384116092696775,5.83709924653835,525
Greedy,51,-5.611806263194672,6.01245279299595,525
Greedy,52,-5.425099977961436,6.48272420401919,525
Greedy,53,-5.53750798381165,6.845257519745759,75
HC,1,-7.673227363690058,5.529280024677439,525
HC,2,-5.518948738985988,5.953565691934271,525
HC,3,-5.461952200103183,6.10424684558318,525
HC,4,-4.851967227990323,6.224951810580432,525
HC,5,-5.154015696192071,6.486529503799062,525
HC,6,-5.7606423768056585,6.374338800984677,525
HC,7,-5.03370568478393,6.315939453904893,525
HC,8,-4.118636444665475,6.017464947313779,525
HC,9,-5.133698835030201,6.447356692897993,525
HC,10,-5.146101571102945,6.2742484438215325,525
HC,11,-4.988051048565538,6.202325675289921,525
HC,12,-5.787366809803335,6.365517571950332,525
HC,13,-5.275800680698904,6.2345993298114575,525
HC,14,-5.66718938694726,6.113591875415368,525
HC,15,-5.72476341347338,6.644499273051842,525
HC,16,-5.730651828207399,5.9296951746831175,525
HC,17,-5.268105972316466,5.939957523638221,525
HC,18,-5.313055025995654,6.278147710276147,525
HC,19,-6.083467120566449,6.317326727593373,525
HC,20,-5.518087137048129,6.1588489393526595,525
HC,21,-5.848259928516313,5.614377718470036,525
HC,22,-6.101134524664499,5.452846575053932,525
HC,23,-5.905171592031259,5.609415733363003,525
HC,24,-5.944739806210423,5.772178638852745,525
HC,25,-6.443808266116988,5.639397043487145,525
HC,26,-4.9838473243449055,6.13910104431037,525
HC,27,-4.808979299018554,5.915830088242795,525
HC,28,-4.845782262873798,6.378820881032097,525
HC,29,-5.768025626626655,6.190103054381233,525
HC,30,-6.308425744004413,6.101536200024658,525
HC,31,-6.213934283314639,6.352342910294036,525
HC,32,-5.863579726380163,6.611427188756478,525
HC,33,-5.8055421560096,6.471583697279144,525
HC,34,-5.006665142740633,6.974079412221259,525
HC,35,-4.673241651336254,6.4112752748555355,525
HC,36,-4.689410825920966,5.898032799268469,525
HC,37,-5.078864366070618,5.936763363127214,525
HC,38,-4.7620433040987,5.744439480071789,525
HC,39,-4.972138817743198,6.041568440743618,525
HC,40,-5.548838167229234,6.1777901954266135,525
HC,41,-4.883228601429995,6.373778959072516,525
HC,42,-5.252118429572223,6.386756235012513,525
HC,43,-5.473335835494776,6.0372431293309505,525
HC,44,-5.7110740811994765,6.404305327958926,525
HC,45,-5.126251740141246,6.701255700850929,525
HC,46,-5.110868457593168,6.195098382671372,525
HC,47,-5.178020454815053,5.6843653882688665,525
HC,48,-5.513204671939039,5.858768557174449,525
HC,49,-5.92649548708354,5.393317838657956,525
HC,50,-5.833493364705832,5.496859120324948,525
HC,51,-5.920287923838588,5.773200016268067,525
HC,52,-5.795239969069926,6.253168971186509,525
HC,53,-5.9454723524599205,6.768477214229722,75
Q,1,-7.580413837611003,5.627035572740984,525
Q,2,-5.560444026227648,5.726887465625332,525
Q,3,-5.197805858963577,6.3015350115064255,525
Q,4,-4.8156311954653725,6.332500984598593,525
Q,5,-4.963296731251035,6.303449535664149,525
Q,6,-5.830234471522155,6.266523270962961,525
Q,7,-4.822028327368787,6.127745705156856,525
Q,8,-4.087553922219187,6.04434618248404,525
Q,9,-5.182076575924368,6.3749685539845276,525
Q,10,-4.910400634039713,6.29472043019,525
Q,11,-4.746250372378496,6.107912559823262,525
Q,12,-5.670021136594657,6.341452018691231,525
