agent,user_id,reward_eff
Greedy,0,-3970.1912281544865
Greedy,1,-3008.757900105832
Greedy,2,-2164.593160910947
Greedy,3,-3091.800508791208
Greedy,4,-3129.758614015902
Greedy,5,-1983.9049963303094
Greedy,6,-207.41568258636954
Greedy,7,-2793.227534260836
Greedy,8,-2274.8688326952333
Greedy,9,-2236.0965035000027
Greedy,10,-2953.5303246647904
Greedy,11,91.36119758371002
Greedy,12,1239.8995070549677
Greedy,13,-1547.434906953074
Greedy,14,-2137.665850740048
Greedy,15,-2316.585401761057
Greedy,16,-3095.2622453144677
Greedy,17,-1612.6505760174125
Greedy,18,-2529.486695714377
Greedy,19,-633.3513525530801
Greedy,20,-2361.086185380656
Greedy,21,-1077.8864843759332
Greedy,22,-1875.5091665918478
Greedy,23,-1426.1333782535821
Greedy,24,111.39792813672912
HC,0,-3937.140031810589
HC,1,-2984.551931303596
HC,2,-2237.3601369241633
HC,3,-3084.3343964319856
HC,4,-3144.0119622240018
HC,5,-2219.8955315108346
HC,6,-532.4998678624928
HC,7,-2921.424808013107
HC,8,-2359.225468761826
HC,9,-2304.4058547820828
HC,10,-3008.8098967307387
HC,11,-322.8910181267099
HC,12,793.1968393935987
HC,13,-1628.586351866532
HC,14,-2280.038126604808
HC,15,-2388.8261393149164
HC,16,-3104.706766165138
HC,17,-1585.9332903475115
HC,18,-2558.1006285667654
HC,19,-989.3847861109818
HC,20,-2410.7337828719333
HC,21,-1292.587983996068
HC,22,-1995.0001370204811
HC,23,-1649.8394823663339
HC,24,-105.87134082335483
Q,0,-3870.835922995691
Q,1,-2879.4472556934134
Q,2,-2179.017210051434
Q,3,-3053.308572714975
Q,4,-3123.1935329996136
Q,5,-2103.0140134757826
Q,6,-569.4057553251345
Q,7,-2889.490101006761
Q,8,-2193.0549701082577
Q,9,-2332.0429907603307
Q,10,-3005.6639021467413
Q,11,-178.13531047997796
Q,12,860.4502601014863
Q,13,-1479.468369511727
Q,14,-2140.972962008534
Q,15,-2208.9126195458603
Q,16,-3079.0072055791625
Q,17,-1609.0584664754035
Q,18,-2481.4965343660156
Q,19,-798.784891982703
Q,20,-2395.2789189536
Q,21,-1147.1637995835574
Q,22,-1946.5503819756602
Q,23,-1550.796099436225
Q,24,-79.0614363456915
SARSA,0,-3873.578682490766
SARSA,1,-2890.5409189853185
SARSA,2,-2165.2643263912164
SARSA,3,-3139.1964141478466
SARSA,4,-3079.106947636186
SARSA,5,-2072.8012042451714
SARSA,6,-676.5987619928815
SARSA,7,-2871.216636030287
SARSA,8,-2273.034280134369
SARSA,9,-2353.3624824704493
SARSA,10,-2922.056206374307
SARSA,11,-253.48517180616025
SARSA,12,664.0547192773546
SARSA,13,-1462.0540526941168
SARSA,14,-2143.197188155819
SARSA,15,-2256.589620365513
SARSA,16,-3093.8815155991388
SARSA,17,-1674.093747040341
SARSA,18,-2573.206438724642
SARSA,19,-865.1742627157773
SARSA,20,-2357.30666814704
SARSA,21,-1254.8803477749295
SARSA,22,-1788.8792685469991
SARSA,23,-1541.888421784097
SARSA,24,-267.4256751035818
