agent,user_id,reward_eff
Greedy,0,-1661.32818747248
Greedy,1,-2376.7355608305106
Greedy,2,-2551.4085541014447
Greedy,3,-4078.811458918553
Greedy,4,-165.29558144541122
Greedy,5,-2216.7085566439905
Greedy,6,-2611.504841184314
Greedy,7,-3848.4445972345984
Greedy,8,-3968.922731716303
Greedy,9,-1720.3244900406364
Greedy,10,-275.20027265289934
Greedy,11,-1755.5280358926946
Greedy,12,-4262.582357343491
Greedy,13,278.3648496564174
Greedy,14,-2076.7773094020213
Greedy,15,-1361.2251208414252
Greedy,16,-1948.4201074048692
Greedy,17,-454.80863157274524
Greedy,18,-508.3730342568739
Greedy,19,-2876.240742595625
Greedy,20,-1992.667039120191
Greedy,21,-671.670687017363
Greedy,22,-439.94795830015283
Greedy,23,-3132.2746514711334
Greedy,24,538.7237696933206
Greedy,25,-459.9178799814476
Greedy,26,-1501.9390670898042
Greedy,27,-1506.5194943544345
Greedy,28,-4159.572375347253
Greedy,29,-1919.1051984581766
Greedy,30,-744.2824038901462
Greedy,31,-3119.7117305855595
Greedy,32,1216.6305495008667
Greedy,33,-2015.7939632854923
Greedy,34,-3648.9603075786226
Greedy,35,-269.1794506363117
Greedy,36,-184.93263678005073
Greedy,37,393.48396906742363
Greedy,38,-4208.663894041587
Greedy,39,-4552.63166715251
Greedy,40,-2659.991714616239
Greedy,41,-1300.7515996335774
Greedy,42,-297.4333506844021
Greedy,43,391.93684942188224
Greedy,44,-1713.1034387187772
Greedy,45,-3019.2720768936597
Greedy,46,-1765.070937674653
Greedy,47,-3665.596201346152
Greedy,48,-648.409382509636
Greedy,49,-1645.4019795286401
HC,0,-1743.249081268176
HC,1,-2305.510778221592
HC,2,-2593.089663203347
HC,3,-4061.0274832215514
HC,4,-400.8032745643663
HC,5,-2319.2729670140598
HC,6,-2686.1234744135227
HC,7,-3811.346379525926
HC,8,-4002.4320725534517
HC,9,-1679.4428356220271
HC,10,-541.457660476401
HC,11,-1819.8873587531252
HC,12,-4292.268660591137
HC,13,113.63494856826289
HC,14,-2183.3836020059043
HC,15,-1559.6366275820392
HC,16,-1995.1328694179479
HC,17,-686.3010774788285
HC,18,-847.4747549029353
HC,19,-2959.008794363031
HC,20,-2045.8154567680947
HC,21,-970.6091956265986
HC,22,-848.0199555151742
HC,23,-3071.8365177007163
HC,24,163.23127115270267
HC,25,-632.2179659129285
HC,26,-1542.3508785222782
HC,27,-1638.9043269478452
HC,28,-4160.812458148063
HC,29,-1943.032101903889
HC,30,-934.6885033399994
HC,31,-3111.78928620884
HC,32,770.3983547656974
HC,33,-2123.1823096983126
HC,34,-3630.463457795815
HC,35,-616.3935444035378
HC,36,-449.7800695005323
HC,37,180.0377357515905
HC,38,-4167.826075983415
HC,39,-4589.754447506544
HC,40,-2761.961807914515
HC,41,-1515.283945709172
