agent,week,mean,std,count
Greedy,1,-6.978289879093303,5.939532441689313,350
Greedy,2,-4.888899980114624,6.1224961288544115,350
Greedy,3,-4.011059272867784,6.083881610232025,350
Greedy,4,-4.433911568359578,5.853213469171127,350
Greedy,5,-4.759369330455882,5.544511732130865,350
Greedy,6,-5.1570502401782345,5.723286766817046,350
Greedy,7,-4.248473101242268,5.685836856471783,350
Greedy,8,-5.294242059709596,6.2790308376418205,350
Greedy,9,-5.821770652329235,5.808992471173893,350
Greedy,10,-4.697480968537111,5.55400083010197,350
Greedy,11,-5.217454570262357,5.641300685430531,350
Greedy,12,-5.119644846624613,5.998748912573574,350
Greedy,13,-4.5168586363425645,5.88468184386358,350
Greedy,14,-4.312391040175061,6.410890193613689,350
Greedy,15,-5.108298501700495,6.307556251956207,350
Greedy,16,-4.504406222708654,6.277502313706779,350
Greedy,17,-5.9872430536069965,6.196405694312637,350
Greedy,18,-5.933295360754637,5.8928021926888245,350
Greedy,19,-5.104764993694593,5.816629547877535,350
Greedy,20,-4.466115196807826,6.870071832968199,350
Greedy,21,-4.818868320822779,6.775092770557734,350
Greedy,22,-4.68031195907807,6.823183014793034,350
Greedy,23,-4.784544999858815,5.906290119301108,350
Greedy,24,-4.728068814738426,5.901584456969,350
Greedy,25,-4.317127066795123,6.025372544264369,350
Greedy,26,-5.152196671491499,6.001890629159514,350
Greedy,27,-4.559236936645395,6.345530729925931,350
Greedy,28,-4.014366651699511,6.113112628052324,350
Greedy,29,-4.289444384877567,6.326079016402487,350
Greedy,30,-3.5714180433522316,6.5336454837214974,350
Greedy,31,-4.6079673834988055,6.439122731937372,350
Greedy,32,-4.635213343361643,6.153624194816507,350
Greedy,33,-5.241380588345237,6.158162623248264,350
Greedy,34,-5.797892367718613,6.17164143183572,350
Greedy,35,-6.582898885548831,6.26341230288866,350
Greedy,36,-5.68943204471986,6.862505208597366,350
Greedy,37,-5.332193195140425,6.320828880564226,350
Greedy,38,-4.5798813908378175,6.597637151928616,350
Greedy,39,-3.9363668921813826,6.659158769405184,350
Greedy,40,-4.301147829598577,6.423015164610934,350
Greedy,41,-4.981940728127778,6.325547290905403,350
Greedy,42,-6.117794812436892,6.239829563147562,350
Greedy,43,-6.254686291341737,5.691743682957274,350
Greedy,44,-4.52696274218304,5.577908031439905,350
Greedy,45,-3.7126790425424736,5.755053411887959,350
Greedy,46,-4.590402271942458,6.491388383916717,350
