agent,user_id,reward_eff
Greedy,0,-1049.8062840814453
Greedy,1,-2969.3172858719636
Greedy,2,-2165.16185457802
Greedy,3,-4262.9707644537575
Greedy,4,-1024.2915039147495
Greedy,5,-2095.6240079835998
Greedy,6,-2471.5020738535077
Greedy,7,-3602.175819298438
Greedy,8,-3834.373355961619
Greedy,9,-1552.9279973517268
Greedy,10,-990.2173519520295
Greedy,11,-1439.5369867297434
Greedy,12,-4208.133846202373
Greedy,13,-852.3747942679992
Greedy,14,-2093.247055250768
Greedy,15,-630.3492305800596
Greedy,16,-2024.6426500460234
Greedy,17,-270.72354037184726
Greedy,18,-442.11454570243745
Greedy,19,-2781.651341158128
Greedy,20,-2540.0323608907365
Greedy,21,47.99015217661883
Greedy,22,-143.640632871632
Greedy,23,-3424.8533086404464
Greedy,24,521.0336238036886
HC,0,-1175.7120022639642
HC,1,-3026.154728793973
HC,2,-2271.0683398887377
HC,3,-4260.640655799361
HC,4,-1085.2570973912862
HC,5,-2183.1440190509534
HC,6,-2581.083170712948
HC,7,-3622.3531896996956
HC,8,-3914.5838456094734
HC,9,-1620.6773382010706
HC,10,-1099.7670534036897
HC,11,-1645.811973395263
HC,12,-4253.035327777137
HC,13,-985.9730228701775
HC,14,-2182.442219936042
HC,15,-740.4014380039872
HC,16,-2042.6985785770266
HC,17,-541.6241946587476
HC,18,-527.0013624654985
HC,19,-2888.3445914683834
HC,20,-2612.9505084829775
HC,21,-127.33993748839512
HC,22,-511.94789070833616
HC,23,-3465.4561961055583
HC,24,59.27753066234075
Q,0,-1085.5331723254121
Q,1,-3030.6101351292937
Q,2,-2069.182926908672
Q,3,-4232.243492866662
Q,4,-984.0240313674958
Q,5,-2103.134330464671
Q,6,-2449.0762831008715
Q,7,-3624.329772476894
Q,8,-3813.7878518911693
Q,9,-1558.2089990279576
Q,10,-1129.2571917181194
Q,11,-1487.543162897333
Q,12,-4160.292751133563
Q,13,-866.8375168685219
Q,14,-2032.4656010762333
Q,15,-688.2331168764188
Q,16,-1963.7036421994642
Q,17,-370.4924651945536
Q,18,-411.95783116956534
Q,19,-2675.7604200585993
Q,20,-2373.456301953352
Q,21,27.328394601612082
Q,22,-401.2748675409591
Q,23,-3322.195348490782
Q,24,49.94267976229271
SARSA,0,-1230.3472088512826
SARSA,1,-2958.193606296661
SARSA,2,-2163.4688651109086
SARSA,3,-4227.683319405567
SARSA,4,-1020.9714737627262
SARSA,5,-2161.642994246721
SARSA,6,-2410.596995116617
SARSA,7,-3569.652987954838
SARSA,8,-3800.083290307043
SARSA,9,-1525.4877280959333
SARSA,10,-1170.174085921188
SARSA,11,-1609.5197838920005
SARSA,12,-4158.119297119917
SARSA,13,-943.0099513812082
SARSA,14,-2115.472467247623
SARSA,15,-789.1864812925991
SARSA,16,-2043.5953921644993
SARSA,17,-461.41408806225957
SARSA,18,-400.21772178346436
SARSA,19,-2854.22572687545
SARSA,20,-2501.3162343576732
SARSA,21,-112.29734502285943
SARSA,22,-512.7186969902928
SARSA,23,-3386.7669077187606
SARSA,24,-38.70276706855423
